company,date,adjusted_close
Apple,2022-09-30,135.67
Apple,2022-10-31,150.53
Apple,2022-11-30,145.56
Apple,2022-12-31,127.76
Apple,2023-01-31,141.88
Apple,2023-02-28,145.17
Apple,2023-03-31,162.40
Apple,2023-04-30,167.10
Apple,2023-05-31,174.80
Apple,2023-06-30,191.29
Apple,2023-07-31,193.73
Apple,2023-08-31,185.52
Apple,2023-09-30,169.07
Apple,2023-10-31,168.64
Apple,2023-11-30,187.82
Apple,2023-12-31,190.38
Apple,2024-01-31,182.34
Apple,2024-02-29,178.96
Apple,2024-03-31,169.78
Apple,2024-04-30,168.64
Apple,2024-05-31,190.60
Apple,2024-06-30,208.81
Apple,2024-07-31,220.17
Apple,2024-08-31,227.30
Apple,2024-09-30,231.27
Apple,2024-10-31,224.23
Apple,2024-11-30,235.82
Apple,2024-12-31,248.83
Apple,2025-01-31,234.50
Apple,2025-02-28,240.57
Apple,2025-03-31,220.96
Apple,2025-04-30,211.38
Apple,2025-05-31,200.06
Apple,2025-06-30,204.36
Apple,2025-07-31,206.75
Apple,2025-08-31,231.48
Apple,2025-09-30,253.91
Microsoft,2022-09-01,225.39
Microsoft,2022-10-01,224.65
Microsoft,2022-11-01,247.61
Microsoft,2022-12-01,232.74
Microsoft,2023-01-01,240.50
Microsoft,2023-02-01,242.67
Microsoft,2023-03-01,280.49
Microsoft,2023-04-01,298.94
Microsoft,2023-05-01,320.20
Microsoft,2023-06-01,332.04
Microsoft,2023-07-01,327.54
Microsoft,2023-08-01,320.26
Microsoft,2023-09-01,308.52
Microsoft,2023-10-01,330.37
Microsoft,2023-11-01,370.99
Microsoft,2023-12-01,368.18
Microsoft,2024-01-01,389.27
Microsoft,2024-02-01,405.74
Microsoft,2024-03-01,412.69
Microsoft,2024-04-01,381.90
Microsoft,2024-05-01,407.94
Microsoft,2024-06-01,439.21
Microsoft,2024-07-01,411.10
Microsoft,2024-08-01,410.65
Microsoft,2024-09-01,423.61
Microsoft,2024-10-01,400.03
Microsoft,2024-11-01,417.71
Microsoft,2024-12-01,415.78
Microsoft,2025-01-01,409.42
Microsoft,2025-02-01,392.38
Microsoft,2025-03-01,371.03
Microsoft,2025-04-01,390.67
Microsoft,2025-05-01,455.85
Microsoft,2025-06-01,492.54
Microsoft,2025-07-01,528.28
Microsoft,2025-08-01,502.56
Microsoft,2025-09-01,513.72
NVIDIA,2022-09-01,12.11
NVIDIA,2022-10-01,13.46
NVIDIA,2022-11-01,16.89
NVIDIA,2022-12-01,14.58
NVIDIA,2023-01-01,19.49
NVIDIA,2023-02-01,23.16
NVIDIA,2023-03-01,27.72
NVIDIA,2023-04-01,27.69
NVIDIA,2023-05-01,37.76
NVIDIA,2023-06-01,42.22
NVIDIA,2023-07-01,46.64
NVIDIA,2023-08-01,49.26
NVIDIA,2023-09-01,43.42
NVIDIA,2023-10-01,40.70
NVIDIA,2023-11-01,46.68
NVIDIA,2023-12-01,49.43
NVIDIA,2024-01-01,61.42
NVIDIA,2024-02-01,78.97
NVIDIA,2024-03-01,90.20
NVIDIA,2024-04-01,86.25
NVIDIA,2024-05-01,109.44
NVIDIA,2024-06-01,123.34
NVIDIA,2024-07-01,116.83
NVIDIA,2024-08-01,119.17
NVIDIA,2024-09-01,121.25
NVIDIA,2024-10-01,132.55
NVIDIA,2024-11-01,138.03
NVIDIA,2024-12-01,134.09
NVIDIA,2025-01-01,119.89
NVIDIA,2025-02-01,124.73
NVIDIA,2025-03-01,108.23
NVIDIA,2025-04-01,108.77
NVIDIA,2025-05-01,134.94
NVIDIA,2025-06-01,157.78
NVIDIA,2025-07-01,177.63
NVIDIA,2025-08-01,173.95
NVIDIA,2025-09-01,186.34
